Feature,Minimum,Maximum,Mean,Median,Std
tau1,0.500793021360319,9.99946946943287,5.249999930614223,5.250003871926565,2.7425483741341625
tau2,0.500141360493773,9.99983655621537,5.250001022042508,5.249981261165705,2.7425486737170117
tau3,0.500788152733829,9.99945000849598,5.250003524154421,5.249978586564115,2.7425494575854117
tau4,0.500472961226082,9.99944329731088,5.249997064361236,5.249734121200991,2.742555529977567
p1,1.58258966481528,5.8644179596283,3.74999995793617,3.751025437294685,0.7521601049043642
p2,-1.99989095591106,-0.500108275885764,-1.2500004574399335,-1.24996629085586,0.43303484993229
p3,-1.99994466917731,-0.50007225154374,-1.249999744447181,-1.2499743078644001,0.4330350963379909
p4,-1.99992633173043,-0.500024528740323,-1.249999756049055,-1.2500072748731101,0.4330349941642478
g1,0.0500093036111293,0.999937073063054,0.5249997888492076,0.5250091478346385,0.2742555319510568
g2,0.0500531010350864,0.999944294487435,0.5250002583737642,0.5250031470219095,0.2742549034457492
g3,0.0500536923673214,0.999981832400081,0.5250003398008583,0.525014693295651,0.27425481303903576
g4,0.0500284939589759,0.999930047985306,0.5250000906280402,0.5250016343759885,0.2742548446656049
